title,plays,prefix,album_display_name,year,year_weight,popularity_weight,hybrid_weight
Motor Spirit,989000.0,petro,PetroDragonic Apocalypse,2023,0.009302452371784606,0.007432066851028015,0.00836725961140631
Supercell,591000.0,petro,PetroDragonic Apocalypse,2023,0.009302452371784606,0.0044412047613322115,0.006871828566558409
Converge,490000.0,petro,PetroDragonic Apocalypse,2023,0.009302452371784606,0.0036822171456053865,0.006492334758694996
Witchcraft,692000.0,petro,PetroDragonic Apocalypse,2023,0.009302452371784606,0.005200192377059036,0.007251322374421821
Gila Monster,2800000.0,petro,PetroDragonic Apocalypse,2023,0.009302452371784606,0.02104124083203078,0.015171846601907693
Dragon,1700000.0,petro,PetroDragonic Apocalypse,2023,0.009302452371784606,0.012775039076590116,0.011038745724187362
Flamethrower,498000.0,petro,PetroDragonic Apocalypse,2023,0.009302452371784606,0.003742334976554046,0.006522393674169326
Danger $$$,27000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,0.00020289767945172538,0.0007659097234247631
Black Tooth,135000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,0.0010144883972586268,0.0011717050823282138
Lunch Meat,20000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,0.00015029457737164844,0.0007396081723847245
Crookedile,20000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,0.00015029457737164844,0.0007396081723847245
Let It Bleed,20000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,0.00015029457737164844,0.0007396081723847245
Dead-Beat,126000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,0.0009468558374413851,0.0011378888024195929
Dustbin Fletcher,23000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,0.0001728387639773957,0.0007508802656875982
Stoned Mullet,13000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,9.769147529157148e-05,0.0007133066213446861
Willoughby's Beach,22000.0,willoughbys,Willoughby's Beach,2011,0.0013289217673978007,0.00016532403510881327,0.000747122901253307
Elbow,36000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.00027053023926896716,0.0008508383790025302
Muckraker,287000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.002156727185283155,0.0017939368520096242
Nein,136000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.0010220031261272094,0.0012265748224316512
12 Bar Bruise,33000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.00024798605266321993,0.0008395662856996566
Garage Liddiard,25000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.00018786822171456053,0.0008095073702253268
Sam Cherry's Last Shot,30000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.00022544186605747264,0.000828294192396783
High Hopes Low,18000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.00013526511963448358,0.0007832058191852884
Cut Throat Boogie,23000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.0001728387639773957,0.0008019926413567445
Bloody Ripper,58000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.00043585427437778043,0.0009335003965569369
"Uh Oh, I Called Mum",19000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.000142779848503066,0.0007869631836195796
Sea of Trees,23000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.0001728387639773957,0.0008019926413567445
Footy Footy,17000.0,12_bar_bruise,12 Bar Bruise,2012,0.0014311465187360933,0.00012775039076590118,0.0007794484547509972
Eyes Like The Sky,151000.0,eyes_like_the_sky,Eyes Like The Sky,2013,0.0015504087286307676,0.0011347240591559457,0.0013425663938933566
Year Of Our Lord,47000.0,eyes_like_the_sky,Eyes Like The Sky,2013,0.0015504087286307676,0.0003531922568233738,0.0009518004927270707
The Raid,44000.0,eyes_like_the_sky,Eyes Like The Sky,2013,0.0015504087286307676,0.00033064807021762654,0.000940528399424197
Drum Run,44000.0,eyes_like_the_sky,Eyes Like The Sky,2013,0.0015504087286307676,0.00033064807021762654,0.000940528399424197
Evil Man,40000.0,eyes_like_the_sky,Eyes Like The Sky,2013,0.0015504087286307676,0.0003005891547432969,0.0009254989416870322
Fort Whipple,30000.0,eyes_like_the_sky,Eyes Like The Sky,2013,0.0015504087286307676,0.00022544186605747264,0.0008879252973441202
The God Man's Goat Lust,30000.0,eyes_like_the_sky,Eyes Like The Sky,2013,0.0015504087286307676,0.00022544186605747264,0.0008879252973441202
The Killing Ground,24000.0,eyes_like_the_sky,Eyes Like The Sky,2013,0.0015504087286307676,0.00018035349284597813,0.0008653811107383728
